LabVIEW Measurement,
137.000000,-0.000484
138.000000,0.000153
139.000000,0.000153
140.000000,-0.000166
141.000000,-0.001759
142.000000,-0.000803
143.000000,0.000153
144.000000,-0.000166
145.000000,0.000153
146.000000,-0.003034
147.000000,0.000472
148.000000,0.000790
149.000000,-0.000166
150.000000,-0.000484
151.000000,-0.001122
152.000000,-0.000803
153.000000,0.001109
154.000000,0.000790
155.000000,0.001746
156.000000,0.001109
157.000000,-0.001122
158.000000,-0.000484
159.000000,0.000153
160.000000,0.001109
161.000000,0.000790
162.000000,0.000153
163.000000,-0.000803
164.000000,-0.000166
165.000000,-0.001122
166.000000,-0.000803
167.000000,0.000472
168.000000,0.000153
169.000000,-0.000484
170.000000,0.000790
171.000000,0.000790
172.000000,0.000472
173.000000,0.000790
174.000000,-0.000484
175.000000,-0.003352
176.000000,0.000153
177.000000,-0.000484
178.000000,0.003339
179.000000,0.001109
180.000000,0.001746
181.000000,-0.000803
182.000000,-0.000166
183.000000,0.000153
184.000000,-0.000484
185.000000,0.000790
186.000000,0.000472
187.000000,-0.000803
188.000000,-0.002715
189.000000,0.001109
190.000000,-0.000166
191.000000,0.001109
192.000000,-0.000803
193.000000,0.000153
194.000000,-0.000166
195.000000,-0.000803
196.000000,0.001109
197.000000,0.002383
198.000000,-0.000484
199.000000,-0.000166
200.000000,0.000153
201.000000,-0.000166
202.000000,0.000153
203.000000,-0.001122
204.000000,0.000472
205.000000,0.000153
206.000000,0.001746
207.000000,0.000472
208.000000,0.002383
209.000000,-0.001440
210.000000,0.000790
211.000000,-0.000484
212.000000,0.001428
213.000000,0.000472
214.000000,-0.001122
215.000000,-0.001440
216.000000,-0.000166
217.000000,-0.001122
218.000000,-0.000803
219.000000,0.000153
220.000000,-0.000484
221.000000,-0.001122
222.000000,0.001746
223.000000,0.000153
224.000000,-0.000484
225.000000,-0.001122
226.000000,-0.000166
227.000000,0.002065
228.000000,-0.000484
229.000000,0.000790
230.000000,0.001109
231.000000,-0.001440
232.000000,-0.000484
233.000000,0.000153
234.000000,-0.000166
235.000000,0.000153
236.000000,-0.000803
237.000000,0.001109
238.000000,-0.001122
239.000000,0.000153
240.000000,0.000153
241.000000,-0.000803
242.000000,-0.001759
243.000000,-0.000166
244.000000,0.003658
245.000000,0.001428
246.000000,0.000472
247.000000,-0.000484
248.000000,-0.000484
249.000000,-0.003034
250.000000,0.001109
251.000000,0.000153
252.000000,0.000153
253.000000,-0.000803
254.000000,-0.002715
255.000000,-0.000803
256.000000,0.000790
257.000000,-0.000803
258.000000,0.000790
259.000000,0.001109
260.000000,0.000153
261.000000,-0.000803
262.000000,0.000472
263.000000,0.001746
264.000000,0.000153
265.000000,0.001109
266.000000,-0.001122
267.000000,-0.000484
268.000000,-0.001122
269.000000,0.000153
270.000000,-0.000803
271.000000,0.001746
272.000000,0.002383
273.000000,-0.000166
274.000000,-0.000166
275.000000,0.000153
276.000000,-0.000484
277.000000,-0.000803
278.000000,-0.000803
279.000000,0.000790
280.000000,-0.000484
281.000000,0.000790
282.000000,-0.000803
283.000000,0.000153
284.000000,0.000153
285.000000,-0.001122
286.000000,-0.001122
287.000000,-0.001440
288.000000,-0.001122
289.000000,-0.000166
290.000000,0.000472
291.000000,0.001109
292.000000,-0.000484
293.000000,-0.000803
294.000000,-0.000803
295.000000,-0.001440
296.000000,-0.000484
297.000000,0.000472
298.000000,0.000153
299.000000,0.000790
300.000000,0.000472
301.000000,0.002383
302.000000,0.000472
303.000000,0.001428
304.000000,-0.001122
305.000000,-0.000166
306.000000,0.000153
307.000000,-0.000484
308.000000,-0.000803
309.000000,-0.000166
310.000000,-0.000166
311.000000,0.000790
312.000000,-0.000484
313.000000,0.001746
314.000000,-0.001122
315.000000,0.001109
316.000000,-0.001122
317.000000,-0.000803
318.000000,-0.000484
319.000000,0.002383
320.000000,0.000153
321.000000,-0.004627
322.000000,-0.001440
323.000000,0.000153
324.000000,-0.002396
325.000000,0.000472
326.000000,0.003339
327.000000,0.001428
328.000000,0.002383
329.000000,-0.000484
